Date,USDEUR,USDGBP,USDJPY,USDAUD,USDNZD,USDCAD,USDNOK,USDSEK,USDCHF,EURGBP,EURJPY,EURAUD,EURNZD,EURCAD,EURNOK,EURSEK,EURCHF,GBPJPY,GBPAUD,GBPNZD,GBPCAD,GBPNOK,GBPSEK,GBPCHF,JPYAUD,JPYNZD,JPYCAD,JPYNOK,JPYSEK,JPYCHF,AUDNZD,AUDCAD,AUDNOK,AUDSEK,AUDCHF,NZDCAD,NZDNOK,NZDSEK,NZDCHF,CADNOK,CADSEK,CADCHF,NOKSEK,NOKCHF,SEKCHF
2014-05-08 23:00:00,1.3844279050827026,1.6935373544692993,101.59300231933594,0.9369437098503113,0.8647527098655701,1.0830199718475342,5.8953399658203125,6.525100231170654,0.879800021648407,2.3445803718272344,140.6481873720204,1.297131017408482,1.1971877825337813,1.4993630707876093,8.161673158630947,9.033530843494248,1.2180197008624205,172.05154438048157,1.586749171666547,1.464491016535895,1.834134777960088,9.983978449412461,11.050500983143763,1.4899742011244754,95.18692448790989,87.8528240590249,110.02725051179368,598.9252868208569,662.9045229192197,89.38152563987842,0.8102246120845571,1.0147287502648084,5.523601698404491,6.113651617738157,0.8243230962096426,0.9365444554936886,5.0980112110219125,5.642598107049281,0.7608094528602471,6.384770923814358,7.066813868664781,0.9528409946771177,38.46768417380372,5.18672022955343,5.740783324641967
2014-05-11 23:00:00,1.376064658164978,1.6860277652740479,101.9000015258789,0.9360666275024414,0.8625895380973816,1.0898000001907349,5.905379772186279,6.563199996948242,0.8866000175476074,2.3200832204784945,140.2209907667193,1.2880882037937909,1.1869789778786597,1.4996352647306566,8.126184397547888,9.031387560268968,1.220018950075712,171.80623185409968,1.5782343241155559,1.4543499112671014,1.8374330589172416,9.956634260393798,11.065737423901282,1.4948322462777242,95.3851907708231,87.89787524833037,111.05062168233871,601.7582077966763,668.7900897036743,90.34454314094546,0.8074412798457047,1.0201254108307012,5.527828927471546,6.143592486767375,0.8299166883693943,0.9400500787830524,5.093918809979783,5.6613476538083205,0.7647718996135211,6.435682876854969,7.152575357926025,0.9662166992924881,38.7581885027912,5.235709809645641,5.8189332324627685
2014-05-12 23:00:00,1.3756672143936157,1.6873650550842285,102.18499755859375,0.9360666275024414,0.8625150918960571,1.0898000001907349,5.917329788208008,6.566569805145264,0.8876500129699707,2.3212527849928506,140.5725509442491,1.28771616994311,1.1865337338411024,1.4992021305085501,8.140276586392474,9.033414791965413,1.2211110206988565,172.4233940342383,1.579486116478165,1.4553778255481689,1.8388904373526316,9.984695504031151,11.08020042097337,1.4977896130305908,95.65196604601806,88.13610255964886,111.36121035884571,604.6623299614294,671.0049195071042,90.70451440822217,0.8073715932411005,1.0201254108307012,5.539014938667606,6.146746851761691,0.8308995540432988,0.9399689473128348,5.103786246055506,5.663765558926741,0.7656115325083306,6.448706004317728,7.156247774899782,0.9673609843039799,38.85655911433332,5.252517863250432,5.828815772705411
2014-05-13 23:00:00,1.3709522485733032,1.6834166049957275,102.23200225830078,0.9365049004554749,0.8629617094993591,1.0906000137329102,5.915559768676758,6.545010089874268,0.8895999789237976,2.307883779904529,140.15519337216847,1.2839034990793508,1.183079296070808,1.4951605411212086,8.10994996643717,8.972896299648085,1.2195990914363435,172.09905016358425,1.5765279000866173,1.4527240712467204,1.8359341725265494,9.958351542435139,11.017978665158921,1.4975673763241701,95.74077109827385,88.22230343436559,111.49422306684573,604.7595196304756,669.1094862886275,90.945587054322,0.8081678698515837,1.0213522572976785,5.539950712303039,6.1294340226977795,0.8331147397072236,0.9411460522309767,5.104901570622928,5.648093095848452,0.7676907185826742,6.451509564956723,7.137988093898912,0.9701977492310903,38.71739837324367,5.262481845537309,5.822440838008191
2014-05-14 23:00:00,1.372005581855774,1.6770081520080566,101.81500244140625,0.9371192455291748,0.8661758303642273,1.0887000560760498,5.921030044555664,6.554699897766113,0.8893799781799316,2.30086454537269,139.69075166626862,1.2857328357304993,1.1883980741282798,1.4937025539030344,8.123686271466113,8.993084847124578,1.2202342944536326,170.74458909095847,1.5715566141560657,1.4525839285931568,1.825758869131164,9.929615653004475,10.992285162520147,1.491497473640493,95.41279827144172,88.18969428322089,110.84599886734213,602.8496884420747,667.3667860937421,90.55222464972758,0.8117100406465312,1.020241775157558,5.54871120810958,6.142535422864739,0.8334550941407315,0.9430056750892533,5.12865311545454,5.677522626735879,0.7703594411093206,6.446225741535727,7.1361021462596455,0.9682680321174075,38.810575027719096,5.266045571829636,5.829618852051226
2014-05-15 23:00:00,1.3716480731964111,1.6795432567596436,101.4990005493164,0.9358038306236267,0.8654261827468872,1.0875999927520752,5.9446001052856445,6.564000129699707,0.890500009059906,2.3037422719843903,139.22090853483132,1.2835935211647183,1.187060156058493,1.4918044344668147,8.153899280338237,9.003498130363596,1.2214526216084067,170.47196194044773,1.5717230133737559,1.4535207094557734,1.826671233878585,9.984213020965171,11.024522155206569,1.4956332853609666,94.98315351851988,87.8398925980191,110.3903122617794,603.370969351854,666.2394527701035,90.38486090873766,0.8098691369365199,1.0177802394036206,5.562979550051921,6.142616465586968,0.8333333196486343,0.9412375100829706,5.144612577074099,5.68065757579609,0.7706620235767829,6.465347031422652,7.139006493486022,0.9685078033992767,39.02035586210786,5.293666447614385,5.845242174966813
2014-05-18 23:00:00,1.3703323602676392,1.6824253797531128,101.54199981689453,0.9367681741714478,0.8640055060386658,1.0863900184631348,5.9303998947143555,6.556310176849365,0.8919600248336792,2.305481941611262,139.14628827538127,1.283683743135967,1.1839747043742008,1.4887153981717915,8.126618885054882,8.984323999288733,1.2222816860947177,170.8368376028293,1.576042551171028,1.4536247916058826,1.8277701393728307,9.97745529495262,11.030502639064991,1.5006561835053986,95.12131377018977,87.73284693597407,110.31421505585968,602.1846650231964,665.740846777142,90.5714046783387,0.8093728603659187,1.0176955940337962,5.555409881478113,6.141742713668862,0.8355597638973649,0.9386469576575962,5.123898162044327,5.66468809209519,0.7706583726226839,6.442727251112501,7.12270993407742,0.9690164678474389,38.88154118250213,5.289679637363065,5.8479665881598635
2014-05-19 23:00:00,1.3713847398757935,1.681689739227295,101.5,0.9334453344345093,0.8632596135139465,1.08719003200531,5.93064022064209,6.588449954986572,0.8920300006866455,2.306243645582015,139.19555109739304,1.2801126871517425,1.1838610605241016,1.4909558192371577,8.13318949628217,9.035299727703944,1.2233163304530592,170.69150853157043,1.569765441048105,1.4517348343357241,1.8283163214135243,9.973496806102503,11.079728686713452,1.5001176992376486,94.74470144510269,87.62085077166557,110.34978824853897,601.9599823951721,668.7276704311371,90.54104506969452,0.805805658640331,1.0148324630190615,5.5359284441680074,6.1499578716374685,0.8326612423165614,0.9385272468451191,5.119682184761757,5.687542761797687,0.7700534736355991,6.447732931291853,7.162897117427235,0.9698061249962109,39.07372629473093,5.290309000091611,5.877095017870602
2014-05-20 23:00:00,1.3704074621200562,1.6837284564971924,101.26200103759766,0.9234462380409241,0.8568246364593506,1.0908399820327759,5.951129913330078,6.589049816131592,0.8916299939155579,2.307394040967637,138.7702018511327,1.265497615477976,1.1741988755321984,1.494895251356624,8.155472841273422,9.029683036307517,1.2218963971119408,170.4977127088514,1.554832709034784,1.4426600226344704,1.8366783192334708,10.020086783385523,11.094170676698354,1.5012627934220433,93.5100139146657,86.763777226186,110.46063939245596,602.6233234585088,667.2203693178999,90.28823736903041,0.7912314871991697,1.007332077712796,5.495548530557471,6.084633264970961,0.8233723636057739,0.9346585710405577,5.099074724511411,5.645660213319502,0.7639705453929508,6.4917304477316975,7.187598983042051,0.9726256465427312,39.21229146120277,5.306205928413192,5.874994447466719
2014-05-21 23:00:00,1.3681762218475342,1.6897029876708984,101.41999816894531,0.923616886138916,0.856531023979187,1.091380000114441,5.946229934692383,6.569590091705322,0.8932999968528748,2.3118114497160605,138.76042991457143,1.2636706617121263,1.1718853802830438,1.4932001651565372,8.135490406284134,8.988356950756383,1.2221918146705804,171.36967391564394,1.5606382119722184,1.4472830302504462,1.8441080468776363,10.04736248602785,11.100656005727615,1.5094116735687066,93.67322290101583,86.869374883614,110.68775761323013,603.0666290886293,666.287815071475,90.59848404513741,0.7911065172490339,1.0080169972999897,5.4920383765465886,6.0677843437099455,0.8250669614811557,0.9348008290484273,5.093130414777761,5.627057728371881,0.7651391610249973,6.489596426805065,7.1699192350371845,0.9749297506675205,39.064293261956664,5.311767181947175,5.868614808245042
